Month	Weekday	Vendor	Revenue
1	Friday	VTS	1.21E+07
1	Friday	CMT	1.21E+07
1	Monday	VTS	9740683.93
1	Monday	CMT	9959325.12
1	Saturday	CMT	1.16E+07
1	Saturday	VTS	1.17E+07
1	Sunday	CMT	1.07E+07
1	Sunday	VTS	1.05E+07
1	Thursday	CMT	1.44E+07
1	Thursday	VTS	1.49E+07
1	Tuesday	CMT	1.35E+07
1	Tuesday	VTS	1.37E+07
1	Wednesday	VTS	1.38E+07
1	Wednesday	CMT	1.36E+07
2	Friday	VTS	1.24E+07
2	Friday	CMT	1.22E+07
2	Monday	CMT	1.06E+07
2	Monday	VTS	1.04E+07
2	Saturday	VTS	1.19E+07
2	Saturday	CMT	1.15E+07
2	Sunday	VTS	1.13E+07
2	Sunday	CMT	1.13E+07
2	Thursday	VTS	1.29E+07
2	Thursday	CMT	1.26E+07
2	Tuesday	CMT	1.14E+07
2	Tuesday	VTS	1.14E+07
2	Wednesday	VTS	1.21E+07
2	Wednesday	CMT	1.20E+07
3	Friday	CMT	1.64E+07
3	Friday	VTS	1.66E+07
3	Monday	CMT	1.10E+07
3	Monday	VTS	1.08E+07
3	Saturday	CMT	1.62E+07
3	Saturday	VTS	1.64E+07
3	Sunday	VTS	1.45E+07
3	Sunday	CMT	1.48E+07
3	Thursday	CMT	1.26E+07
3	Thursday	VTS	1.32E+07
3	Tuesday	CMT	1.15E+07
3	Tuesday	VTS	1.15E+07
3	Wednesday	CMT	1.21E+07
3	Wednesday	VTS	1.22E+07
4	Friday	VTS	1.37E+07
4	Friday	CMT	1.34E+07
4	Monday	VTS	1.36E+07
4	Monday	CMT	1.38E+07
4	Saturday	VTS	1.34E+07
4	Saturday	CMT	1.30E+07
4	Sunday	CMT	1.22E+07
4	Sunday	VTS	1.20E+07
4	Thursday	VTS	1.33E+07
4	Thursday	CMT	1.30E+07
4	Tuesday	CMT	1.46E+07
4	Tuesday	VTS	1.47E+07
4	Wednesday	VTS	1.24E+07
4	Wednesday	CMT	1.21E+07
5	Friday	CMT	1.66E+07
5	Friday	VTS	1.71E+07
5	Monday	CMT	1.10E+07
5	Monday	VTS	1.09E+07
5	Saturday	VTS	1.27E+07
5	Saturday	CMT	1.25E+07
5	Sunday	VTS	1.14E+07
5	Sunday	CMT	1.17E+07
5	Thursday	CMT	1.63E+07
5	Thursday	VTS	1.68E+07
5	Tuesday	CMT	1.19E+07
5	Tuesday	VTS	1.21E+07
5	Wednesday	VTS	1.59E+07
5	Wednesday	CMT	1.55E+07
6	Friday	VTS	1.33E+07
6	Friday	CMT	1.27E+07
6	Monday	VTS	1.13E+07
6	Monday	CMT	1.11E+07
6	Saturday	CMT	1.49E+07
6	Saturday	VTS	1.53E+07
6	Sunday	CMT	1.41E+07
6	Sunday	VTS	1.40E+07
6	Thursday	CMT	1.27E+07
6	Thursday	VTS	1.33E+07
6	Tuesday	VTS	1.20E+07
6	Tuesday	CMT	1.16E+07
6	Wednesday	CMT	1.22E+07
6	Wednesday	VTS	1.28E+07
7	Friday	VTS	1.17E+07
7	Friday	CMT	1.12E+07
7	Monday	CMT	1.30E+07
7	Monday	VTS	1.35E+07
7	Saturday	CMT	1.03E+07
7	Saturday	VTS	1.08E+07
7	Sunday	CMT	1.01E+07
7	Sunday	VTS	1.04E+07
7	Thursday	VTS	1.16E+07
7	Thursday	CMT	1.11E+07
7	Tuesday	CMT	1.35E+07
7	Tuesday	VTS	1.43E+07
7	Wednesday	VTS	1.49E+07
7	Wednesday	CMT	1.41E+07
8	Friday	CMT	1.45E+07
8	Friday	VTS	1.22E+07
8	Monday	CMT	9938603.72
8	Monday	VTS	1.02E+07
8	Saturday	CMT	1.33E+07
8	Saturday	VTS	1.13E+07
8	Sunday	CMT	7669734.34
8	Sunday	VTS	7923532.82
8	Thursday	CMT	1.44E+07
8	Thursday	VTS	1.27E+07
8	Tuesday	VTS	1.11E+07
8	Tuesday	CMT	1.05E+07
8	Wednesday	VTS	1.17E+07
8	Wednesday	CMT	1.10E+07
9	Friday	VTS	1.35E+07
9	Friday	CMT	1.28E+07
9	Monday	CMT	1.30E+07
9	Monday	VTS	1.36E+07
9	Saturday	VTS	1.32E+07
9	Saturday	CMT	1.25E+07
9	Sunday	VTS	1.47E+07
9	Sunday	CMT	1.41E+07
9	Thursday	CMT	1.21E+07
9	Thursday	VTS	1.29E+07
9	Tuesday	VTS	1.19E+07
9	Tuesday	CMT	1.12E+07
9	Wednesday	VTS	1.24E+07
9	Wednesday	CMT	1.17E+07
10	Friday	VTS	1.37E+07
10	Friday	CMT	1.31E+07
10	Monday	VTS	1.08E+07
10	Monday	CMT	1.07E+07
10	Saturday	CMT	1.29E+07
10	Saturday	VTS	1.33E+07
10	Sunday	CMT	1.21E+07
10	Sunday	VTS	1.22E+07
10	Thursday	CMT	1.57E+07
10	Thursday	VTS	1.66E+07
10	Tuesday	CMT	1.40E+07
10	Tuesday	VTS	1.44E+07
10	Wednesday	CMT	1.49E+07
10	Wednesday	VTS	1.55E+07
11	Friday	VTS	1.61E+07
11	Friday	CMT	1.53E+07
11	Monday	CMT	1.08E+07
11	Monday	VTS	1.10E+07
11	Saturday	CMT	1.54E+07
11	Saturday	VTS	1.60E+07
11	Sunday	VTS	1.21E+07
11	Sunday	CMT	1.18E+07
11	Thursday	CMT	1.14E+07
11	Thursday	VTS	1.21E+07
11	Tuesday	VTS	1.18E+07
11	Tuesday	CMT	1.13E+07
11	Wednesday	VTS	1.22E+07
11	Wednesday	CMT	1.16E+07
12	Friday	VTS	1.31E+07
12	Friday	CMT	1.24E+07
12	Monday	CMT	1.32E+07
12	Monday	VTS	1.36E+07
12	Saturday	VTS	1.23E+07
12	Saturday	CMT	1.17E+07
12	Sunday	VTS	1.39E+07
12	Sunday	CMT	1.35E+07
12	Thursday	VTS	1.22E+07
12	Thursday	CMT	1.15E+07
12	Tuesday	VTS	1.39E+07
12	Tuesday	CMT	1.32E+07
12	Wednesday	VTS	1.13E+07
12	Wednesday	CMT	1.07E+07